Nombre del Archivo;Longitud de la cadena;Media;Complejidad_Media(c,c/b);Mediana;Complejidad_Mediana(c,c/b) 
DATA_20190307-0003_4_10Millones maximos_V_0.02;250140;0.21065662961570555;(7834, 0.5616144381603664);0.21259842813014984;(7823, 0.5608258552117114)
DATA_20190307-0003_4_10Millones maximos_V_0.06;77772;0.22160825532159462;(4244, 0.8865930142377952);0.21653543412685394;(4237, 0.8851306789174219)
DATA_20190307-0003_4_10Millones maximos_t_0.05;119343;8.580008506573495e-06;(1145, 0.161803740597609);2.7545600000011827e-05;(5298, 0.7486779193765349)
DATA_20190307-0003_4_10Millones maximos_t_0.06;77771;1.3166398210129748e-05;(1187, 0.24797319466266673);2.7647999999991235e-05;(4297, 0.8976754991284575)
DATA_20190307-0003_4_10Millones maximos_t_0.01;298932;3.4254076351812503e-06;(703, 0.04277624625447258);2.723839999996258e-05;(10367, 0.630812723926198)
DATA_20190307-0003_4_10Millones maximos_t_0.02;250139;4.093579790436522e-06;(340, 0.0243744716531637);2.73407999999975e-05;(8297, 0.5948087979597035)
DATA_20190307-0003_4_10Millones maximos_t_0.03;205311;4.987379902684226e-06;(1246, 0.10709959253959134);2.7443199999921397e-05;(7228, 0.6212807824046277)
DATA_20190307-0003_4_10Millones maximos_V_0.1;37197;0.22801411137063743;(2459, 1.003703195953965);0.22047244012355804;(2468, 1.007376774141678)
DATA_20190307-0003_4_10Millones maximos_V_0.01;298933;0.20630175073968424;(9955, 0.6057414223672056);0.20866142213344574;(9972, 0.6067758376540205)
DATA_20190307-0003_4_10Millones maximos_t_0.04;161653;6.334333140739739e-06;(1685, 0.18035409905156904);2.744320000003242e-05;(6022, 0.6445652133463198)
DATA_20190307-0003_4_10Millones maximos_V_0.05;119344;0.21822023272736218;(5085, 0.7185726782292216);0.21653543412685394;(5085, 0.7185726782292216)
DATA_20190307-0003_4_10Millones maximos_V_0.03;205312;0.2132092670282891;(6822, 0.5863805397895665);0.21259842813014984;(6822, 0.5863805397895665)
DATA_20190307-0003_4_10Millones maximos_V_0.04;161654;0.2158006556517945;(5737, 0.6140567354850518);0.21653543412685394;(5735, 0.6138426665516423)
DATA_20190307-0003_4_10Millones maximos_t_0.1;37196;2.7528872868050332e-05;(2393, 0.9767873872097713);2.7750400000026154e-05;(2431, 0.9922984280430229)
